CODE,TITLE,DATE
APRIME,AVENGERS PRIME,2010-2011
APSKIES,APACHE SKIES,2002
ARANA,ARANA: HEART OF THE SPIDER,2005-2006
ARES,ARES,2006
ARMOR,ARMOR WARS,2015
ASCRS,AMAZING SCARLET SPIDER,1995
ASG,AMAZING SPIDER-GIRL,2006-2009
ASGOTG,ASGARDIANS OF THE GALAXY,2018-2019
ASKANISON,ASKANI'SON,1996
ASM,AMAZING SPIDER-MAN,"1963-1998, 2003-2014"
ASM2,AMAZING SPIDER-MAN VOL. 2,1999-2003
ASM3,AMAZING SPIDER-MAN VOL. 3,2014-2015
ASM4,AMAZING SPIDER-MAN VOL. 4,2015-2017
ASM5,AMAZING SPIDER-MAN VOL. 5,2018-
ASM5 16.HU,AMAZING SPIDER-MAN VOL. 5 16.HU,2019
ASM5 18.HU,AMAZING SPIDER-MAN VOL. 5 18.HU,2019
ASM5 19.HU,AMAZING SPIDER-MAN VOL. 5 19.HU,2019
ASM5 20.HU,AMAZING SPIDER-MAN VOL. 5 20.HU,2019
ASM DIG,AMAZING SPIDER-MAN DIGITAL COMIC,2009-2010
ASM SPEC,AMAZING SPIDER-MAN SPECIAL,2015
ASM SSPEC,AMAZING SPIDER-MAN SUPER SPECIAL,1995
ASM&SILK:SFE,AMAZING SPIDER-MAN & SILK: THE SPIDER(FLY) EFFECT,2016
ASM/DDINO,AMAZING SPIDER-MAN/DEVIL DINOSAUR,1998
ASM:BIQ,AMAZING SPIDER-MAN: BACK IN QUACK,2010
ASM:CALGARY,AMAZING SPIDER-MAN: CHAOS IN CALGARY,1993
ASM:DBALL,AMAZING SPIDER-MAN: DEAD BALL,1993
ASM:DT,AMAZING SPIDER-MAN: DOUBLE TROUBLE,1993
ASM:EDAY,AMAZING SPIDER-MAN: ELECTION DAY HC,2009
ASM:ENDS,AMAZING SPIDER-MAN: ENDS OF THE EARTH,2012
ASM:F&E,AMAZING SPIDER-MAN: FRIENDS & ENEMIES,1995
